Country,Year,corruption_and_economic_crime,intentional_homicide,violent_and_sexual_crime,firearms_trafficking,access_and_functioning_of_justice
Bulgaria,2020,852.5384615384615,14.883467524206225,14.61818181818182,3787.1349240242994,332.3078758014776
Bulgaria,2021,1472.962962962963,19.8218437520022,1272.4444444444443,3911.914023579961,336.65843806973226
Bulgaria,2022,738.6153846153846,18.26211693997582,810.5,3920.5704833325785,373.1375963541025
Bulgaria,2023,1318.2142857142858,21.692685312861578,81965.38110439265,1423.677888574431,444.4451544578323
Burundi,2019,12149.148557920238,501.76682723586737,27.0,16332.687654023799,9960.609520116173
Cabo Verde,2019,1276065.0,14.18590977648106,32057.51540144315,25210.057292323443,282.90189620681394
Cabo Verde,2020,11761.535277789153,15.477861942185612,4150.302486700646,35950.28603943974,6080.651918108624
Cambodia,2020,11.15713,697.4055548258498,31216.29843236216,7169.254275710442,1400.7954181451605
Cameroon,2019,1376681.5,885.0888951224015,22330.40801158898,35189.09193984883,812.6737512151508
Cameroon,2020,87198.5,307.6170239712699,111716.84623260451,1233.2309165527774,1035.1008319242956
Cameroon,2021,27482.24816330154,754.6071016191715,51803.30475045977,1248.261476499652,1130.5598161180374
Cameroon,2022,147.76324731069326,937.3800445966848,20503.321373948904,1330.3540188044444,587.3280942335687
Cameroon,2023,18770.67478842942,855.5556302391769,1771.590301633234,32058.137302378756,2263.198665559945
Canada,2019,43739.857142857145,45.167856644929,74324.5864035391,56485.06356701683,6943.005776087501
Canada,2020,15961.714285714286,51.131920584181806,198896.8186789183,32616.40895489044,7095.968170910379
Canada,2021,59807.28571428572,51.86910921695053,46319.62096073538,40066.29142466792,7806.386418632795
Canada,2022,62570.28571428572,58.49005382171312,143699.75316124104,25320.175286986778,8059.062371773337
Canada,2023,3290.0,68.47026697398239,26363.007601183028,18690.87397405102,24484.9316232702
Cayman Islands,2019,23725.10996280075,2.4852882201791253,17064.024135876458,35394.041215934536,759.6414788068814
Cayman Islands,2020,17449.884909193686,3.68389884180565,48083.31288337441,2478.9181565562794,2801.5741374280133
Chile,2019,203975.22857142857,67.38849962888493,1384.6065573770493,34539.296703606626,3533.253598084812
Chile,2020,291319.26470588235,77.84837672377164,61713.81400685581,39939.69917976174,3084.117627737065
Chile,2021,304222.4117647059,66.07092838371918,2090.106382978724,31023.961147286427,3617.665355405597
Chile,2022,147550.79411764705,94.4198680164274,69512.41996542351,33485.388029709386,3636.559359583925
